# taxonomy 	CSM67UGO_taxonomic_profile	CSM79HI3_taxonomic_profile	CSM79HP4_taxonomic_profile	ESM5ME9U_taxonomic_profile	HSM67VD2_taxonomic_profile	HSM6XRVK_taxonomic_profile	HSMA33OT_taxonomic_profile	MSM6J2RS_taxonomic_profile	MSM9VZMI_taxonomic_profile	PSM7J154_taxonomic_profile	PSM7J182_taxonomic_profile	PSMA264U_taxonomic_profile
k__Bacteria	100.0	100.0	99.39461	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Eukaryota	0	0	0.60539	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes	10.95256	20.95567	27.59288	8.77946	4.31893	89.66502	7.20384	0	0.32971	26.71787	97.43114	13.69091
k__Eukaryota|p__Ascomycota	0	0	0.60539	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria	0	76.15996	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes	88.73921	0	56.00357	88.92554	38.70311	8.78846	58.31037	100.0	95.22158	71.58595	0	85.47074
k__Bacteria|p__Proteobacteria	0	2.88436	4.17551	0	5.46143	1.54652	32.80081	0	4.44871	0	2.56886	0.83835
k__Bacteria|p__Actinobacteria	0.30823	0	0	2.29501	1.84017	0	1.68498	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia	0	0	11.62266	0	49.67637	0	0	0	0	1.69618	0	0
k__Bacteria|p__Firmicutes|c__Clostridia	10.4047	17.29385	27.59288	8.77946	4.31893	89.66502	7.20384	0	0.32971	26.71787	97.17525	13.46047
k__Bacteria|p__Firmicutes|c__Negativicutes	0.54786	3.58727	0	0	0	0	0	0	0	0	0	0.23044
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	88.73921	0	56.00357	88.92554	38.70311	8.78846	58.31037	100.0	95.22158	71.58595	0	85.47074
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0	76.15996	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0	0	0.60539	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0	0.07455	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0	0	0	0.11635	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.30823	0	0	2.17865	1.84017	0	1.68498	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0	0	11.62266	0	49.67637	0	0	0	0	1.69618	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0	0	4.11209	0	5.46143	1.54652	21.26308	0	4.29108	0	0	0.42778
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0	2.88436	0	0	0	0	1.37443	0	0.15763	0	2.56886	0.41057
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0	0	0	0	0	0	0	0	0	0	0.25589	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	10.4047	17.29385	27.59288	8.77946	4.31893	89.66502	7.20384	0	0.32971	26.71787	97.17525	13.46047
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.54786	3.58727	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	0	0	0.06343	0	0	0	10.1633	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	88.73921	0	56.00357	88.92554	38.70311	8.78846	58.31037	100.0	95.22158	71.58595	0	85.47074
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0	0	0	0	0	0	0	0	0	0	0	0.23044
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0	76.15996	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0	0	0.60539	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.30823	0	0	2.17865	1.84017	0	1.68498	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0	0.07455	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0	0	0	0.11635	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0	0	4.11209	0	5.46143	1.54652	21.26308	0	4.29108	0	0	0.42778
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0	0	0	0	0	0	0.02973	0	0	0	0	0.41057
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0	2.88436	0	0	0	0	1.34469	0	0.15763	0	2.56886	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0	0	11.62266	0	49.67637	0	0	0	0	1.69618	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0	0	0	0	0	0.04379	0	0	0	0	0	0.10449
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0	12.49209	2.34119	0	3.70105	0.04064	0.66737	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2.40457	0	1.97861	6.30857	0.55908	65.45234	3.39303	0	0.32971	20.46603	29.93403	7.04196
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.58871	2.96501	20.13936	1.18432	0.05879	23.33704	3.0608	0	0	4.34945	67.24122	6.31402
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	7.41142	0	3.13372	1.14347	0	0.79121	0	0	0	1.90239	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	66.96671	0	40.4634	44.80225	6.25796	0.2649	11.31566	13.77584	53.98658	38.30362	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	19.61047	0	13.35339	30.94656	29.06186	8.52356	40.7131	0.15979	37.17556	29.32288	0	7.58397
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	1.16392	0	1.03239	13.17673	3.38329	0	6.28161	0.66683	2.18005	3.41766	0	1.67722
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0	0	0	0	0	0	0	83.17399	0	0	0	76.20954
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	0	0	0	0	0	0	0	0	0	0	0.25589	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	0.54786	3.58727	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	0	0	0	0	0	0	0	1.90591	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	0.99811	0	1.15438	0	0	0	0	0.31764	1.8794	0.5418	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0	1.83674	0	0.14309	0	0	0.08265	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0.23044
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0	76.15996	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0	0	0	0	0	0	1.02132	0	0	0	0	0.13401
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	0	1.57135	0	0	0	0.01272	0.06599	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0	0	4.11209	0	5.46143	1.54652	21.26308	0	4.29108	0	0	0.42778
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	0	0	12.1017	0.92962	0.05879	19.23599	1.59117	0	0	3.94039	55.67364	5.56193
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.30823	0	0	2.17865	1.84017	0	1.68498	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	0	0	0.60539	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0	0	0	0	0	0	0.02973	0	0	0	0	0.41057
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	0	12.49209	2.34119	0	3.70105	0.04064	0.66737	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	0	0	0	0	0	0.04379	0	0	0	0	0	0.10449
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0	0.07455	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	0	0	0	0	0	0	0.05693	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0	0	0	0.11635	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae	0	0.83797	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	66.96671	0	40.4634	44.80225	6.25796	0.2649	11.31566	13.77584	53.98658	38.30362	0	0
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	0	0	0.06343	0	0	0	10.1633	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	0	0	0	0	0	5.23979	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	0	0	0	0	0	0.45075	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	0	0	11.62266	0	49.67637	0	0	0	0	1.69618	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0	0	0	0	0	0	0	83.17399	0	0	0	76.20954
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister	0.54786	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	7.41142	0	3.13372	1.14347	0	0.79121	0	0	0	1.90239	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella	0	0	0	0.15433	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	19.61047	0	13.35339	30.94656	29.06186	8.52356	40.7131	0.15979	37.17556	29.32288	0	7.58397
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor	2.16269	0	0	1.71129	0	0.20442	0.01752	0	0.32971	0	0.63952	0.57432
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella	0	3.58727	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella	0	0	0	0	0	0	0	1.90591	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas	0	0	0	0	0	0	0	0	0	0	0	0.23044
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0	2.04639	0	0	0	0	1.34469	0	0.15763	0	2.56886	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	0.24187	0	1.97861	4.33271	0.55908	60.00813	3.37551	0	0	20.46603	29.17716	6.46764
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium	0	0	0	0	0	0	0	0	0	0	0.11735	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter	0.99811	0	1.15438	0	0	0	0	0.31764	1.8794	0.5418	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium	0	1.39366	0	0	0	0	0	0	0	0	11.56758	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	1.16392	0	1.03239	13.17673	3.38329	0	6.28161	0.66683	2.18005	3.41766	0	1.67722
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor	0	0	0	0.26457	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Intestinibacter	0	1.83674	0	0.14309	0	0	0.08265	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	0	76.15996	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	0	0	0	0	0	0	0	0	0	0	0	0.42778
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas	0	0	0.53524	0	0.79957	0.10661	8.06595	0	0.10123	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.30823	0	0	2.17865	1.84017	0	1.68498	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_CAG_317	0	0	0	0	0	0	0	0	0	0	0	0.13401
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	0	0	0	0	0	0	0.02973	0	0	0	0	0.41057
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella	0	0.83797	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	0	0	0	0	0	0	1.02132	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces	0	0	0.60539	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0	0	0	0	0	0	0.06599	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hansenii	0	0.97934	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	0	0	11.62266	0	49.67637	0	0	0	0	1.69618	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	0	0	0	0	0	0	0	0	0	0	0.25589	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella	0	0	3.57685	0	4.66186	1.4399	13.19713	0	4.18985	0	0	0
